行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード,豆知識(歴史),豆知識(有名なもの)
"01109","北海道","札幌市手稲区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾃｲﾈｸ","FALSE","01","特に広く知られた都市伝説は確認できない。1880年代、トノサマバッタの大群が農地を襲い、駆除した死骸と卵を埋めた手稲山口バッタ塚が札幌市指定文化財として残る。手稲鉱山は金の最盛期に東洋一と称された選鉱場を持ち、人口8千人超の鉱山町を形成した。この由来や背景は札幌市手稲区の郷土資料にも記録され、1972年札幌冬季五輪でアルペンやボブスレーを巡る際に地域の成り立ちを重ねて理解できる。","1972年札幌冬季五輪でアルペン、ボブスレー、リュージュ会場となった手稲山が中心。サッポロテイネ、前田森林公園のカナール、星置の滝、手稲山口バッタ塚、旧軽川街道の桜並木を巡れる。1972年札幌冬季五輪でアルペンとボブスレーを含む札幌市手稲区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市手稲区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01110","北海道","札幌市清田区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼｷﾖﾀｸ","FALSE","01","特に広く知られた都市伝説は確認できない。清田は「あしりべつ」と呼ばれた地域で、厚別川のアイヌ語名には「新しい川」「低木の川」など諸説ある。三里塚は札幌中心から三里を示す塚、真栄は土地の繁栄を願った命名で、地名に開拓時の測量と願いが残る。この由来や背景は札幌市清田区の郷土資料にも記録され、平岡公園や札幌ふれあいの森を巡る際に地域の成り立ちを重ねて理解できる。","平岡公園は約6.5ヘクタールの梅林で紅白約1200本が咲く。札幌ふれあいの森では木工や炭焼き、白旗山都市環境林ではハイキングと歩くスキーができ、あしりべつ郷土館に農具や生活資料が並ぶ。平岡公園と札幌ふれあいの森を含む札幌市清田区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市清田区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01202","北海道","函館市","ﾎｯｶｲﾄﾞｳ","ﾊｺﾀﾞﾃｼ","FALSE","01","函館山麓の碧血碑では、夜に兵士のうめき声が聞こえる、旧幕府軍の霊が現れるという噂が心霊サイトで語られる。碑そのものは箱館戦争で没した旧幕府軍約800人の慰霊碑で、「義に殉じた武人の血は三年で碧色になる」という中国故事が名の由来。土方歳三らの遺体を官軍の禁を破って収容した侠客・柳川熊吉の働きが建立につながった。","函館山の夜景、星形を見下ろせる五稜郭タワー、金森赤レンガ倉庫、八幡坂、函館朝市、湯の川温泉が代表格。五稜郭と元町・ベイエリアはアニメ『ラブライブ！サンシャイン!!』函館編にも登場し、旧函館区公会堂や函館山ロープウェイなど実景を巡れる。漫画『ゴールデンカムイ』やゲーム『薄桜鬼』ゆかりの箱館戦争史も重なる。"
"01203","北海道","小樽市","ﾎｯｶｲﾄﾞｳ","ｵﾀﾙｼ","FALSE","01","オタモイ海岸の遊園地跡では、焼失した料亭・龍宮閣の周辺に人影が出るという噂が心霊サイトや体験談で広まった。昭和初期には断崖に龍宮閣、弁天食堂、演芸場を備え、一日数千人が訪れた一大リゾートだったが、地滑りや豪雪被害が続き、1952年の火災後に閉園。龍宮閣跡へ続く通路は崖崩れのため立入禁止で、海上観光船から海岸を望める。","小樽運河の倉庫群、ガラス店や菓子店が続く堺町通り、三角市場、旧国鉄手宮線、天狗山が定番。漫画『ゴールデンカムイ』には旧小樽倉庫が武器取引場面の背景として描かれ、建物内の小樽市総合博物館運河館では作品ゆかりの展示も行われる。映画『Love Letter』冒頭の雪景色は天狗山で撮影され、山頂から港町を一望できる。"
"01204","北海道","旭川市","ﾎｯｶｲﾄﾞｳ","ｱｻﾋｶﾜｼ","FALSE","01","神居古潭には、魔神ニッネカムイが巨岩で石狩川をせき止め、上流の村を沈めようとしたため、英雄神サマイクルが刀で首を斬ったというアイヌ伝承がある。峡谷には「魔神の頭・胴体」、投げ込んだ岩「藻刈」、サマイクルの刀痕、足跡とされる甌穴群まで対応する地形が残る。丸木舟の難所だった激流への畏れが、岩一つ一つを物語に変えた。","旭山動物園では、円柱水槽を上下するアザラシや頭上のタワーを渡るオランウータンなど、能力を引き出す「行動展示」を間近で見られる。ほかに約2000種の植物を育てる上野ファーム、日本初の恒久的歩行者天国・平和通買物公園、旭川ラーメン村、男山酒造り資料館がある。駅南側の北彩都ガーデンには約300種・8万株が植えられている。"
"01205","北海道","室蘭市","ﾎｯｶｲﾄﾞｳ","ﾑﾛﾗﾝｼ","FALSE","01","地球岬には、沖で命を落とした船乗りの霊が霧の夜に現れるという噂がある一方、「チキウ」はアイヌ語で断崖を指す。測量山の名は札幌本道建設時の見当山に由来し、海岸の奇岩には金屏風・銀屏風・ローソク岩など形から生まれた名が並ぶ。この由来や背景は室蘭市の郷土資料にも記録され、白鳥大橋や地球岬を巡る際に地域の成り立ちを重ねて理解できる。","白鳥大橋、地球岬、トッカリショ、測量山、工場夜景が代表。旧室蘭駅舎や炭鉄港の製鉄遺産を見た後、豚肉とタマネギを洋がらしで食べる室蘭やきとり、カレーラーメン、うずら卵料理を味わえる。白鳥大橋と地球岬を含む室蘭市の観光案内では、営業日、旬、体験予約の情報を確認できる。室蘭市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01206","北海道","釧路市","ﾎｯｶｲﾄﾞｳ","ｸｼﾛｼ","FALSE","01","阿寒湖には巨大魚イトウが鹿をのみ込んだというアイヌ伝承があり、湖のマリモには離れ離れになった恋人が湖へ身を投げ、魂が緑の球になったという物語も語られる。幣舞橋周辺では海霧が街を包み、実景と伝承が重なる。この由来や背景は釧路市の郷土資料にも記録され、釧路湿原の細岡展望台や阿寒湖を巡る際に地域の成り立ちを重ねて理解できる。","釧路湿原の細岡展望台、阿寒湖、幣舞橋、和商市場、釧路市動物園。阿寒湖では特別天然記念物マリモとアイヌコタン、湿原ではカヌーやノロッコ号、夕方は炉端焼きと勝手丼を楽しめる。釧路湿原の細岡展望台と阿寒湖を含む釧路市の観光案内では、営業日、旬、体験予約の情報を確認できる。釧路市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01207","北海道","帯広市","ﾎｯｶｲﾄﾞｳ","ｵﾋﾞﾋﾛｼ","FALSE","01","特に広く知られた都市伝説は確認できない。帯広はアイヌ語「オペレペレケプ（川尻がいくつにも裂けている所）」がオベリベリを経て転じた名とされる。1883年、依田勉三ら晩成社13戸27人が入植したが、冷害やバッタの大発生で開墾は難航し、その暮らしから「開墾のはじめは豚とひとつ鍋」という言葉が残った。先住のアイヌの協力も開拓を支えた。","帯広競馬場では、体重約1トンのばん馬が鉄そりを引き、二つの障害を越える世界唯一のばんえい競馬を間近で観戦できる。豚丼の専門店、六花亭帯広本店、柳月の菓子も市街地の定番。市内の帯廣神社は漫画・アニメ『銀の匙 Silver Spoon』に登場する「大蝦夷神社」のモデルで、ばん馬型の絵馬も掛けられている。"
"01208","北海道","北見市","ﾎｯｶｲﾄﾞｳ","ｷﾀﾐｼ","FALSE","01","特に広く知られた都市伝説は確認できない。北見は1869年に置かれた北見国の名を受け継ぐ。旧常呂町の常呂遺跡は縄文からアイヌ文化期まで続く大規模遺跡で、約2500軒の竪穴くぼみが確認される。留辺蘂はアイヌ語「道がそれに沿って下るもの」に由来する。この由来や背景は北見市の郷土資料にも記録され、北の大地の水族館や山の水族館を巡る際に地域の成り立ちを重ねて理解できる。","北の大地の水族館では滝つぼ水槽や冬に凍る川を再現。山の水族館、北きつね牧場、ワッカ原生花園、ところ遺跡の森、ハッカ記念館を巡り、焼肉とタマネギ、薄荷製品を味わえる。北の大地の水族館と山の水族館を含む北見市の観光案内では、営業日、旬、体験予約の情報を確認できる。北見市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01209","北海道","夕張市","ﾎｯｶｲﾄﾞｳ","ﾕｳﾊﾞﾘｼ","FALSE","01","炭鉱跡では坑内から作業音が聞こえるという噂が残るが、実際の事故犠牲者を娯楽化できない重い歴史を持つ。夕張はアイヌ語「ユーパロ（鉱泉の湧く所）」など諸説があり、1888年の石炭大露頭発見から炭都となった。この由来や背景は夕張市の郷土資料にも記録され、石炭博物館や幸福の黄色いハンカチ想い出ひろばを巡る際に地域の成り立ちを重ねて理解できる。","石炭博物館では模擬坑道と採炭機械を見学。幸福の黄色いハンカチ想い出ひろばは映画ロケ地を保存し、滝の上公園では夕張川の奇岩と紅葉を望む。夕張メロンとシナモンドーナツも名物。石炭博物館と幸福の黄色いハンカチ想い出ひろばを含む夕張市の観光案内では、営業日、旬、体験予約の情報を確認できる。夕張市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01210","北海道","岩見沢市","ﾎｯｶｲﾄﾞｳ","ｲﾜﾐｻﾞﾜｼ","FALSE","01","利根別川の「泣く木」は道路工事で伐られそうになるたび事故が起き、切り口から赤い液が流れたという北海道怪談の題材。岩見沢の名は幌内炭鉱道路工事の休泊所で人々が湯浴みし疲れを癒した「浴澤」に由来する。この由来や背景は岩見沢市の郷土資料にも記録され、北海道グリーンランドやバラ約630品種のいわみざわ公園を巡る際に地域の成り立ちを重ねて理解できる。","北海道グリーンランド、バラ約630品種のいわみざわ公園、安田侃の彫刻がある岩見沢駅、北村温泉。毛陽・栗沢の果樹園ではリンゴやブドウ、宝水ワイナリーでは映画『ぶどうのなみだ』のロケ景観に触れられる。北海道グリーンランドとバラ約630品種のいわみざわ公園を含む岩見沢市の観光案内では、営業日、旬、体験予約の情報を確認できる。"
"01211","北海道","網走市","ﾎｯｶｲﾄﾞｳ","ｱﾊﾞｼﾘｼ","FALSE","01","特に広く知られた都市伝説は確認できない。網走の語源は「我らが見つけた土地」「入口の地」「幣場のある島」など複数説があり、いずれもアイヌ語「アパシリ」に漢字を当てたとされる。1890年には中央道路開削のため囚徒収容施設が置かれ、過酷な労働の記憶が町名に暗い印象を重ねた。旧監獄建築は1983年から博物館として保存されている。","博物館網走監獄では、放射状の木造舎房と中央見張所など明治期の旧建築を歩き、現在の網走刑務所の献立を再現した麦飯と焼き魚の「監獄食」も試せる。漫画・アニメ・実写映画『ゴールデンカムイ』の舞台としても知られる。冬は流氷観光砕氷船おーろら、天都山のオホーツク流氷館、流氷越しに知床連山を望む能取岬も外せない。"
"01212","北海道","留萌市","ﾎｯｶｲﾄﾞｳ","ﾙﾓｲｼ","FALSE","01","特に広く知られた都市伝説は確認できない。留萌はアイヌ語「ルルモッペ」に由来し、「潮が静かに入る川」など諸説ある。ニシンの千石場所として栄え、漁が衰えた後も加工技術を受け継いで塩数の子の主要産地となった。黄金岬にはニシンの群来を待った見張り台の記憶が残る。この由来や背景は留萌市の郷土資料にも記録され、黄金岬の夕日や千望台を巡る際に地域の成り立ちを重ねて理解できる。","黄金岬の夕日、千望台、海のふるさと館、礼受牧場、旧佐賀家漁場。駅跡周辺では映画『駅 STATION』のロケ地をたどれ、数の子、甘エビ、にしん親子漬けを港町の味として買える。黄金岬の夕日と千望台を含む留萌市の観光案内では、営業日、旬、体験予約の情報を確認できる。留萌市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01213","北海道","苫小牧市","ﾎｯｶｲﾄﾞｳ","ﾄﾏｺﾏｲｼ","FALSE","01","特に広く知られた都市伝説は確認できない。苫小牧の「牧」は、開拓使官吏の小牧昌業が書類で自分の名の字を用いたという説まである。語源は苫小牧川を指すアイヌ語「マク・オマ・イ」など諸説。勇払には八王子千人同心が1800年に入植した墓所が残る。この由来や背景は苫小牧市の郷土資料にも記録され、ウトナイ湖で野鳥観察やノーザンホースパークで馬とのふれあいを巡る際に地域の成り立ちを重ねて理解できる。","ウトナイ湖で野鳥観察、ノーザンホースパークで馬とのふれあい、樽前山麓で散策。港のキラキラ公園、王子製紙工場の煙突も街の象徴で、全国有数の水揚げを持つホッキ貝をカレーや炙りで味わえる。ウトナイ湖で野鳥観察とノーザンホースパークで馬とのふれあいを含む苫小牧市の観光案内では、営業日、旬、体験予約の情報を確認できる。"
"01214","北海道","稚内市","ﾎｯｶｲﾄﾞｳ","ﾜｯｶﾅｲｼ","FALSE","01","宗谷岬沖の弁天島には弁財天を祀ったという伝承があり、稚内公園の氷雪の門には樺太で亡くなった人々への鎮魂が込められる。稚内はアイヌ語「ヤム・ワッカ・ナイ（冷たい飲み水の沢）」に由来し、国境の歴史が地名と碑に重なる。この由来や背景は稚内市の郷土資料にも記録され、宗谷岬や日本最北端の地の碑を巡る際に地域の成り立ちを重ねて理解できる。","宗谷岬、日本最北端の地の碑、白い道、宗谷丘陵、稚内港北防波堤ドーム。稚内公園から港を望み、ノシャップ岬で夕日と利尻富士を眺め、樺太記念館で海峡43キロ先との交流史を学べる。宗谷岬と日本最北端の地の碑を含む稚内市の観光案内では、営業日、旬、体験予約の情報を確認できる。稚内市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01215","北海道","美唄市","ﾎｯｶｲﾄﾞｳ","ﾋﾞﾊﾞｲｼ","FALSE","01","特に広く知られた都市伝説は確認できない。美唄はアイヌ語「ピパ・オ・イ（川真珠貝の多い所）」に由来し、美貝、沼貝を経て現在の字になった。炭鉱時代の竪坑櫓や原炭ポケットが残り、盤の沢では屯田兵と監獄囚人が道路を開いた歴史が交差する。この由来や背景は美唄市の郷土資料にも記録され、安田侃や宮島沼のマガンを巡る際に地域の成り立ちを重ねて理解できる。","安田侃が旧栄小学校と炭鉱跡を再生したアルテピアッツァ美唄、宮島沼のマガン、炭鉱メモリアル森林公園。鶏モツを串に刺す美唄やきとりと、袋入り焼きそばも独特の食文化。安田侃と宮島沼のマガンを含む美唄市の観光案内では、営業日、旬、体験予約の情報を確認できる。美唄市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01216","北海道","芦別市","ﾎｯｶｲﾄﾞｳ","ｱｼﾍﾞﾂｼ","FALSE","01","特に広く知られた都市伝説は確認できない。芦別はアイヌ語「アシ・ペッ（切り立つ川）」に由来。炭鉱最盛期は人口7万5千人余りを数えたが、1992年に最後の坑内掘り炭鉱が閉山した。旧三井芦別鉄道の炭山川橋梁とディーゼル機関車が炭都の輪郭を残す。この由来や背景は芦別市の郷土資料にも記録され、芦別温泉スターライトホテルやカナディアンワールドを巡る際に地域の成り立ちを重ねて理解できる。","芦別温泉スターライトホテル、カナディアンワールド、滝里湖、三段滝、旧三井芦別鉄道炭山川橋梁。星空観察と芦別健夏山笠が知られ、ガタタンは具沢山のとろみスープとして店ごとに味が違う。芦別温泉スターライトホテルとカナディアンワールドを含む芦別市の観光案内では、営業日、旬、体験予約の情報を確認できる。芦別市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01217","北海道","江別市","ﾎｯｶｲﾄﾞｳ","ｴﾍﾞﾂｼ","FALSE","01","特に広く知られた都市伝説は確認できない。江別の語源はアイヌ語「ユベオツ（チョウザメのいる川）」「イ・プッ（大事な所の入口）」など諸説。野幌丘陵では7～9世紀の江別古墳群が発見され、本州の古墳文化と北海道の続縄文文化が接した痕跡を示す。この由来や背景は江別市の郷土資料にも記録され、江別市セラミックアートセンターや北海道立埋蔵文化財センターを巡る際に地域の成り立ちを重ねて理解できる。","江別市セラミックアートセンター、北海道立埋蔵文化財センター、野幌森林公園、旧町村農場。れんが産業と江別式土器、国産小麦ハルユタカで知られ、直売所やパン店で小麦の香りを比べられる。江別市セラミックアートセンターと北海道立埋蔵文化財センターを含む江別市の観光案内では、営業日、旬、体験予約の情報を確認できる。"
"01218","北海道","赤平市","ﾎｯｶｲﾄﾞｳ","ｱｶﾋﾞﾗｼ","FALSE","01","特に広く知られた都市伝説は確認できない。赤平はアイヌ語「フレ・ピラ（赤い崖）」などに由来する。炭鉱最盛期には立坑を中心に街が膨らみ、住友赤平炭鉱立坑櫓と自走枠整備工場が炭鉄港の構成文化財として残る。坑内火災や事故の記憶も資料で伝承される。この由来や背景は赤平市の郷土資料にも記録され、赤平市炭鉱遺産ガイダンス施設や旧住友赤平炭鉱の機械や救護隊資料を巡る際に地域の成り立ちを重ねて理解できる。","赤平市炭鉱遺産ガイダンス施設から立坑櫓を見学し、旧住友赤平炭鉱の機械や救護隊資料を見る。植松電機ではロケット開発、鞄のいたがきでは革製品に触れ、炭鉱菓子「塊炭飴」も買える。赤平市炭鉱遺産ガイダンス施設と旧住友赤平炭鉱の機械や救護隊資料を含む赤平市の観光案内では、営業日、旬、体験予約の情報を確認できる。"
"01219","北海道","紋別市","ﾎｯｶｲﾄﾞｳ","ﾓﾝﾍﾞﾂｼ","FALSE","01","特に広く知られた都市伝説は確認できない。紋別は本来、元紋別を流れる藻鼈川のアイヌ語名「モペッ（静かな川）」だった。番屋とコタンが現在の市街へ移るにつれ、川のない場所へ地名まで移動した。鴻之舞鉱山跡には東洋一と呼ばれた金山町の煙突や慰霊碑が残る。この由来や背景は紋別市の郷土資料にも記録され、流氷砕氷船ガリンコ号や巨大なカニの爪を巡る際に地域の成り立ちを重ねて理解できる。","流氷砕氷船ガリンコ号、巨大なカニの爪、オホーツクタワー、アザラシシーパラダイス、流氷科学センター。氷海展望塔では海中を観察でき、オホーツク紋別空港近くにはラベンダー畑が広がる。流氷砕氷船ガリンコ号と巨大なカニの爪を含む紋別市の観光案内では、営業日、旬、体験予約の情報を確認できる。紋別市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01220","北海道","士別市","ﾎｯｶｲﾄﾞｳ","ｼﾍﾞﾂｼ","FALSE","01","特に広く知られた都市伝説は確認できない。士別はアイヌ語「シペッ（大いなる川）」に由来し、天塩川沿いに屯田兵が入植した。上士別遺跡から約6000年前の遺物が出土し、博物館ではアイヌ文化、屯田兵、農業機械を展示。朝日地区には岩尾内ダム建設で水没した集落の記録も残る。この由来や背景は士別市の郷土資料にも記録され、羊と雲の丘でサフォーク羊や世界のめん羊館で品種を巡る際に地域の成り立ちを重ねて理解できる。","羊と雲の丘でサフォーク羊を眺め、世界のめん羊館で品種を学ぶ。道の駅羊のまち侍・しべつ、岩尾内湖、日向温泉、つくも水郷公園もあり、臭みの少ないサフォークラムを市内の料理店で味わえる。羊と雲の丘でサフォーク羊と世界のめん羊館で品種を含む士別市の観光案内では、営業日、旬、体験予約の情報を確認できる。士別市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01221","北海道","名寄市","ﾎｯｶｲﾄﾞｳ","ﾅﾖﾛｼ","FALSE","01","特に広く知られた都市伝説は確認できない。名寄はアイヌ語「ナイ・オロ・プト（川の合流口）」に由来し、天塩川と名寄川が合わさる地形を表す。零下20度を下回る朝には微細な氷晶が光柱をつくるサンピラーが現れ、市立天文台はその名を冠する。この由来や背景は名寄市の郷土資料にも記録され、なよろ市立天文台きたすばるや北海道立サンピラーパークを巡る際に地域の成り立ちを重ねて理解できる。","なよろ市立天文台きたすばる、北海道立サンピラーパーク、ピヤシリスキー場、北国博物館。映画『星守る犬』はひまわり畑で撮影され、もち米生産地らしくソフト大福や餅料理も多い。なよろ市立天文台きたすばると北海道立サンピラーパークを含む名寄市の観光案内では、営業日、旬、体験予約の情報を確認できる。名寄市は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
